,business_id,date,likes,text,type,user_id,winter,spring,summer,autumn,dayofweek,timediff,bad_comment,good_comment,closed
188303,IIKQGLUbglrbh__FUR-HoQ,2013-09-14,0,"keep your eyes open for all the wildlife and fun bugs along the trail.  great nature trail for toddlers!  lots of little lizards, frogs, squirrels, birds and more along the way.    there is a drinking fountain at the end of the trail but even though it is not a long trail you should bring a bottle of water in arizona summer seasons.  please don't litter there are lot of trash cans along the way.",tip,LisTsUqnQ5RoW6reg6hyWQ,0,0,0,1,5,1614,0,0,0
644818,0WoQQlMXVIDEgI0xNdENKA,2012-07-10,0,not bad.,tip,oVCdGLc82TYV0MZuk6RRaw,0,0,1,0,1,1183,0,0,0
222555,nwHd2MbIGz0SNG8GpFjekw,2011-08-26,0,this place is great!,tip,GvQGa5IXCC7kbryaR5WURg,0,0,1,0,4,864,0,1,0
54251,bcTwvbD5wfMSgSO-YczLYw,2015-08-01,0,first time here - digging it so far. good appetizers & entrees (i had some tasty shepherds pie),tip,8oZTjLEk0f0wyRc5bj99mw,0,0,1,0,5,2300,0,1,0
344656,7U-yh8dvsvhd87i2crfOAw,2012-02-21,0,damn!!!,tip,8ne2JH-bQEHYM237obA3ew,1,0,0,0,1,1043,0,0,0
187663,KrNcz4VCtOpPRdAyJTJgig,2011-09-06,0,dan gives a killer foot massage!,tip,P7Et6kAmqlmPWKJZKcb68w,0,0,0,1,1,875,0,0,0
100171,kUICYu0N_TbtCz0Z8ynPFw,2011-08-31,0,love some chipotle!!!!,tip,KZzdRSve51cpSb8G3RoVbg,0,0,1,0,2,869,0,0,0
157020,RtnTbhWYw4QjKhoTBV37OA,2011-10-26,0,happy hour!,tip,CW5GH2WQLTC8b7aWuLTsEQ,0,0,0,1,2,925,0,0,0
304291,j0_gBQTGWhhYAYhK4D83Cw,2016-08-23,0,bar tender is nice. food is priced right and the pool is great,tip,xwvrawIWiPjA6hnQMjHc6w,0,0,1,0,1,2688,0,1,0
439555,uiHyP1uOAzOPkOmnWhnW0A,2012-03-30,0,hunger keeps me awake! i'm so starving i can hear my stomach cussing at me! thanks to roberto!!,tip,ibNpyNhasoDtJ9xUVMUFzA,0,1,0,0,4,1081,0,0,0
95456,YXe8DxId7IpkW-bUCdfGIg,2014-05-13,0,come get some pie from the nicest pie folks in town!,tip,UuPPKVJ3Hk6E_ZKR-J2NzA,0,1,0,0,1,1855,0,1,0
911034,ccMpzq6Bu2Ha4Wbn6TnT7Q,2016-09-17,0,they actually close at 9,tip,Rl5aXu6dqjDfXCt_kB4-pA,0,0,0,1,5,2713,0,0,0
896079,IQ4ul7JRXz6zyjDod1kUyg,2016-07-31,0,"wonderful food, drinks and of course the gorgeous women are always a plus!",tip,VNnY1OzT8tFbdeSasvNZ9A,0,0,1,0,6,2665,0,0,0
51116,b42EKdSk61zd_FEqEwioYQ,2011-09-21,0,yelpie awards tonight!,tip,fHS0bQ-l5rHME_xXKQSYXQ,0,0,0,1,2,890,0,0,0
98237,Twcjx4ofM9GWwXN6LVGSzw,2012-06-17,0,a brunch to rival the city's best.,tip,1lMU2hQKtPzYUxSuUH3q8g,0,0,1,0,6,1160,0,0,0
449202,C9ImzBi5fn742ZcAYDww2A,2014-06-19,0,breakfast until 11:30,tip,p0zeyErYua98RrCLHH8P9w,0,0,1,0,3,1892,0,0,0
563935,bCD3cSKBmFYh5pHTZHGLng,2014-04-09,0,this has re-opened as lucky 13 today.,tip,fCzQ1PpH1XX_Qjvaa1fevA,0,1,0,0,2,1821,0,0,0
3833,08t3_HjbpLyPeuft6eoa5A,2015-03-15,0,open for the 2015 season. same great quality.,tip,blrWvPePSv87aU9hV1Zd8Q,0,1,0,0,6,2161,0,1,0
243965,sHSdzn28a1UHzTETE6phtQ,2014-11-05,0,currently buy one get one 50% off - entire store,tip,qb9kvGuavKng9adYvx-RMg,0,0,0,1,2,2031,0,0,0
908914,xUv4cIGoL5F279yp5dzp4Q,2016-06-04,0,theses guys are awesome recommend to everyone they're fast my job just took 20mins,tip,GfpTj_3eHaIQc5pHZ-o1Bg,0,0,1,0,5,2608,0,1,0
758216,ZS4aj6VUb7A-pIJdYfL9-A,2014-05-06,0,tapa style dinner... expect to order at least a few dishes!,tip,iBBLkWtXWzOUUjhT7IqUBA,0,1,0,0,1,1848,0,0,0
269917,K7fip0nDFFdCC7OCnNOotQ,2013-08-03,0,amazing view of the bellagio fountain,tip,x1T1Gl1ucD5PzNh0kW_1HA,0,0,1,0,5,1572,0,0,0
775803,KWojrEKjUqHCRI5HO7pB4g,2012-06-09,0,the picasso gallery is worth it. will be back for a second look in a few weeks.,tip,EC5TGpxONfz4IZIjML0DpQ,0,0,1,0,5,1152,0,0,0
715957,6Ib0L5X1KWUzIFN1EkzF3w,2015-07-24,0,sherry is super helpful,tip,AVSktgmzDtWfr2spjR73AA,0,0,1,0,4,2292,0,0,0
33096,33ZCc2qpwk0wdOkJ57p5sQ,2013-08-28,0,prepare to wait if you repairs,tip,_mgwexldYMwuL27G399J6w,0,0,1,0,2,1597,0,0,0
319288,tWiFat101ID5w_wgAPMXhA,2009-09-02,0,"from a guy who grew up on detroit's lafayette coney islands, this place is only average.",tip,dRqorwcTVx3fYGoq0fsa2Q,0,0,0,1,2,141,0,0,0
675636,_8VkSb_Mryb6bHQxSWB7Pg,2016-12-14,0,best place on earth. i go at least once a week.,tip,qRm-oIp45G2kpH03ArF_mw,1,0,0,0,2,2801,0,0,0
829242,9X935zq92IQDnl1n23PivA,2015-08-14,0,"great food and atmosphere. service was great as well.
well done.",tip,hD-6PMxVVfCZgJwxmWnEOw,0,0,1,0,4,2313,0,1,0
163603,WOz66UuVsfc2K9GxzfDnGg,2011-08-27,0,i will let you know next time.,tip,cp1VKz5857zxObnSYJ8-6g,0,0,1,0,5,865,0,0,0
636062,Tw3miGKZHtmxmaQZIYFRrA,2013-09-27,0,$5 wine coolers before 5pm!,tip,sr6L2-GFMYPQtCvPpwcxDw,0,0,0,1,4,1627,0,0,0
264018,SIVi2UQp1UT0lMIoqHP0QA,2010-08-11,0,"served my wife pasta in a plastic bag labelled sunday, it was wednesday.",tip,YCYMIpa-O8FcMJY8tUpb3Q,0,0,1,0,2,484,0,0,0
834635,WUz-JGUA6coi7llkuvgt2w,2013-05-20,0,"don't go with this company. very unprofessional. the girl above, she got paid to write that review. you can call and call and call... they will never return or pick up your phone call. they are insulting. my sink still leaks and it has been a month. i email them weekly about it.",tip,fVQx-WEKhN8njFi4vW0esg,0,1,0,0,0,1497,0,0,0
443010,M51gw2cz_vXarNBLbKkOxQ,2012-07-02,0,no mimosas boooooooooo,tip,JAvxtY6z-ekLUqnNqAizXQ,0,0,1,0,0,1175,0,0,0
664171,QpXBPotu6i__51lFk-5yMA,2013-04-24,0,grab the front seat. great view and gets ya ready for the drops.,tip,BsAoQo3WMF0V_1wBqzdNzA,0,1,0,0,2,1471,0,1,0
797127,iVTw0miizU79B4TcT3mJnA,2011-02-26,0,they use frozen macarons :s,tip,vCo8V3gvIQrh6chOn6sNRQ,1,0,0,0,5,683,0,0,0
701089,xJzJpTYC_1k_EE0AWTOPXw,2015-08-03,0,"cheap movies, comfy seats.",tip,C9RT9rogIzoVqB6zWBxEVw,0,0,1,0,0,2302,0,0,0
201316,hvB7duuL6O-pu53iaF35Vg,2012-06-01,0,don't buy knives from case #26! literately the first throw.. the knife bent! waste of $16 bucks! the only good thing about these knives.... is to throw them at the knuckle head that sells these cheap things! otherwise brass rules!,tip,dy2hnzQ6o7vzy9RzWaaY0Q,0,0,1,0,4,1144,0,0,0
350903,CTE_mO0FS-WI_KYFf6BqhQ,2014-08-18,0,employees are rude. hate the vibe here...,tip,Kw8ziiUHe4Kbti4mQTLZ-g,0,0,1,0,0,1952,0,0,0
881504,KA3bcnsLDeTqUNrKjhnNFg,2013-11-17,0,best massage i've had in vegas,tip,l78l3WvkPBq7r33IYGySnA,0,0,0,1,6,1678,0,0,0
72243,i55cm4i5C7fSCVONIQ8DRg,2011-01-17,0,shrimp wonton noodles and dim sum for lunch,tip,nMhQ2vrzzJNzJC8br54_lQ,1,0,0,0,0,643,0,0,0
121354,0HSY1jGtyFuETZwaJN6rQQ,2014-07-26,0,they are now in grubhub.com !!! ^_^,tip,c9zDQl4vQg41Pxmc5TpWWQ,0,0,1,0,5,1929,0,0,0
808490,QxVO068R5kAZ5rIY99kmcA,2016-08-26,0,new decor and special room for members,tip,fKi8ZF3xpJJkgSusRubeMA,0,0,1,0,4,2691,0,0,0
395506,Gx1i3fXHzKkcPYrxTCGeoQ,2012-05-26,0,99 cent nacho burrito,tip,OMrPW7TcMoSwcwi0IYiYRw,0,1,0,0,5,1138,0,0,0
188674,lpYFsXFrojiBZ1kbWR2lZw,2013-08-17,0,delicious !,tip,-dPN1ydScvh06CnQ3Ebt4g,0,0,1,0,5,1586,0,1,0
927578,d8WZtx4dZUvT9Sg9NXGb3Q,2016-12-02,0,i've never had so much fun getting my car smogged! thanks!,tip,A0UVmr5DAVr6rQJYIfNsDA,1,0,0,0,4,2789,0,0,0
665152,apdb7MGnmnx6nGWBJ0ch_g,2010-07-11,0,"amazing atmosphere, great coffee and bagels",tip,iCV8pPsN6I0FYUBC0ajUFg,0,0,1,0,6,453,0,1,0
528770,lYMBCn3zvn_zsCmCBAUZxQ,2014-06-08,0,this restaurant is closed,tip,L_O0mcR9ALWwoXw_e-1y0A,0,0,1,0,6,1881,0,0,1
297415,J07TDs6qnTIaxm48EL1cKQ,2012-12-05,0,all night happy hour on wednesdays!  need i say more?,tip,29AhuSNyfEMM_RO-L9qlTQ,1,0,0,0,2,1331,0,0,0
177111,8Zqh2jwtncA3N4fWEMTvZQ,2013-03-03,1,our favorite tea selection at a breakfast place. (infusion fine tea from espresso italia in tempe),tip,qCzx039NVrJkWnZEqQ1JKA,0,1,0,0,6,1419,0,0,0
221530,cTJjTKz2huGZ-ElScC2pSw,2012-05-23,0,the fattoush salad is amazing!,tip,hWu_RSxcmUd043POzZw5xg,0,1,0,0,2,1135,0,0,0
9634,CFtZH4Skp9z3o4ToSywI4w,2011-11-04,0,$3 valet,tip,7FAWEeRGS1IqKDjrY7uwaA,0,0,0,1,4,934,0,0,0
376970,BxKe9Xt_fN6qBzrTofHuEQ,2013-01-23,0,show your casino id to get $8 movies!,tip,ugNQV0isqQSAuuGzoK87sQ,1,0,0,0,2,1380,0,0,0
656034,2weQS-RnoOBhb1KsHKyoSQ,2014-01-04,0,"bring snack, the line is ridiculous.  i hope the food is good.",tip,F31h8Ye5EBniI91y9uAIEw,1,0,0,0,5,1726,0,0,0
113452,x1ClWF6HF3X_7TFFnLED_Q,2015-04-11,0,their waffle fries and sweet potato puffs are delicious!,tip,ALw8EN21lby0vWtfD6JfIw,0,1,0,0,5,2188,0,0,0
581060,3fdtp-bzoE4ZgTakkcEBzQ,2011-09-20,0,in the immortal words of george takai: ooooh myyyyy.,tip,85Qdp7czYW-teY1X09Zu6w,0,0,0,1,1,889,0,0,0
622641,7sb2FYLS2sejZKxRYF9mtg,2015-12-30,0,"oh, seriously, this place is more fun than you can possibly imagine sushi could be! $25.95 for ayce off a menu, pick and choose and graze and live it up! fab! delish! don't miss: the shit, the pang, seasonal oyster, ocean trout, super white tuna with so sauce, and black sesame blanc mange!!",tip,CvWJ_4HnsMQvQEeyZ6S5iA,1,0,0,0,2,2451,0,0,0
182577,89uU51kOiQXbJHVA3C6XMQ,2014-05-23,0,don't let the door slam.  help it close slowly or it will make a lot of noise as it slams shut.,tip,dOCb0uavapeSjLuteeLTZA,0,1,0,0,4,1865,0,0,1
121294,fSmIQUcriQNu6hKkEoGgOQ,2016-02-13,0,they're getting better...work in progress,tip,2nBs0yRj5CWcPU848TVqpg,1,0,0,0,5,2496,0,0,0
646437,xTlmLL2xZZ0xhZ2J16zXQQ,2012-05-03,0,sweet smell of coffee and sinatra in the background make it a pleasant experience as always!,tip,eRcr37uzM5gLHgfgwEy7tw,0,1,0,0,3,1115,0,0,0
787170,Gv8u5bX_Kd7HG7jkeF_vWA,2012-01-01,0,location is closed :(,tip,IRZifXidb51Uh-tb17wegg,1,0,0,0,6,992,0,0,1
717596,iCQpiavjjPzJ5_3gPD5Ebg,2011-06-15,0,white pizza!,tip,jHlM64I_gTdaQ5Ap0jxdqQ,0,0,1,0,2,792,0,0,0
235308,u9va4ksYFYJe6FkXkHOo7Q,2012-02-15,0,yum! under new ownership and he's awwwwesome!,tip,P8hh_toL28YH60c2CvGq-w,1,0,0,0,2,1037,0,0,0
873879,mxMwo3zfJwVoCIayeNcA5w,2014-10-20,0,great service! great dim sum! i had take out the other evening and they freshly made an order of dim sum for me and my partner.  it was delicious!  have recommended this place to my whole family when they come into town!,tip,t51WBfvZEs7UixHqWkQkGQ,0,0,0,1,0,2015,0,1,0
942280,S4qUsi44l5D9BbUCkhwQEA,2016-12-17,0,it was tasty,tip,Hhsq-82AjiQA3qoLBgbJcQ,1,0,0,0,5,2804,0,0,0
694478,eWKZyDPXdkhrT8v8XD2OrQ,2016-05-30,0,"look on the venetian website first for a 10-20% discount code before booking.  get there early to use the locker rooms, and spa amenities to warm up, loosen up and relax before your services. salons book on thee clock 1/2 (3:30, 4:30 etc) and massages book on the hour (10:00, 11:00, etc) - plan that for your group. be verbally forceful with massage therapist if you want a ""specific body region"" for deep tissue or they ignore you for their pre programmed routine to make sure to get a head to toe.",tip,jsHb6e89E174MH-bwWBXEw,0,1,0,0,0,2603,0,0,0
244851,vYn0gishV27DpfM_loZITQ,2012-08-08,0,getting to-go,tip,JYcDZpNuq4wMoln5ie_BqQ,0,0,1,0,2,1212,0,0,0
